FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Precious Achiuwa,Tor,F,23.15,12,20.4,42.5,21,12.3,33,0.848,64,0.484,28,0.179,0.418,0.493,8.8,7,19.2,1.3,9.3,0.17,0.58,1.25,8.5,106,105.8
Steven Adams,Mem,C,29.32,12,26.9,56,12.5,27.9,29,0.31,57,0.596,0,0,0.596,0.552,6.4,11.5,22.7,2.4,11.4,0.75,1.33,2.25,8.3,111.6,102.8
Bam Adebayo,Mia,C-F,25.32,12,35.1,73.1,23.6,18.7,52,0.865,156,0.538,4,0,0.525,0.582,17.8,8.6,14.2,3.5,16.8,1.25,0.83,3.5,9.3,106.9,101.4
Ochai Agbaji,Uta,G,22.56,6,11.1,23.1,13.8,0,7,0.571,13,0.615,6,0,0.421,0.453,3.3,1.7,8.2,0.2,2,0,0,0,3.7,108.5,108.5
Santi Aldama,Mem,F-C,21.84,13,27.6,57.5,14,6.6,22,0.636,56,0.589,47,0.298,0.524,0.541,9.4,6.2,11.8,0.8,4,0.92,1.08,0.62,5.2,117.8,105.6
Nickeil Alexander-Walker,Uta,G,24.2,8,8.4,17.5,21.1,14.6,5,0.8,14,0.357,13,0.308,0.407,0.445,3.3,0.8,4.9,1.3,19.7,0.63,0.38,0.63,7.2,94.2,96.8
Grayson Allen,Mil,G,27.1,11,26.9,56,16.1,16.6,28,0.929,29,0.414,54,0.426,0.56,0.624,10.8,2.8,5.3,2.7,14.3,0.82,0.27,1.73,6.5,118.2,103
Jarrett Allen,Cle,C,24.56,12,32.5,67.6,17.7,10.7,39,0.769,122,0.566,2,0,0.556,0.595,14,11.5,20.8,1.2,5.4,0.42,1.25,1.42,7.1,122.5,101.2
Jose Alvarado,Nor,G,24.59,12,18.7,38.9,18.1,17.7,9,0.667,35,0.486,40,0.4,0.547,0.557,7.3,2,6,2.6,18.6,0.75,0.17,1.42,7.2,106.4,105.9
Kyle Anderson,Min,F-G,29.15,9,19.1,39.8,11.9,16.4,13,0.846,24,0.667,11,0.364,0.629,0.675,6.1,2.9,8.1,2.7,18.6,0.78,0.56,0.89,7.6,129.6,110.7
Giannis Antetokounmpo,Mil,F,27.93,9,32.7,68.2,37.9,11.2,111,0.649,160,0.594,30,0.267,0.563,0.599,31.8,12.2,19,5.3,33.9,1.11,1.44,3.33,15.6,117.8,93.6
Thanasis Antetokounmpo,Mil,F,30.32,6,2.9,6.1,4.7,50,0,0,1,0,0,0,0,0,0,0.8,14.5,0.2,6.9,0,0.17,0.17,0,,
Cole Anthony,Orl,G,22.49,4,30.4,63.4,24.1,11.8,15,0.733,33,0.455,20,0.35,0.481,0.52,15.5,4.5,8.4,4.3,21.4,0.75,0.75,2,8.8,107.3,103.4
O.G. Anunoby,Tor,F,25.32,13,35.3,73.5,20.1,12.9,36,0.806,112,0.509,62,0.387,0.534,0.566,16.5,6.4,10.1,1.7,7.1,3,0.85,2.15,6.4,108.2,102.1
Ryan Arcidiacono,Nyk,G,28.63,3,2,4.1,7,0,0,0,0,0,1,0,0,0,0,0.7,17.3,0.3,19.9,0.33,0,0,0,,
Deni Avdija,Was,F,21.86,12,20.6,42.8,15.2,14.2,15,0.8,39,0.41,27,0.222,0.379,0.427,5.2,4.3,11.7,1.6,10.3,0.42,0.58,1,6.4,90.6,100.5
Deandre Ayton,Pho,C,24.31,10,26.6,55.4,23.7,14.5,19,0.737,108,0.565,7,0.429,0.57,0.588,14.5,7.3,15.9,1.5,9.2,0.6,0.6,2.1,8.1,108.6,98.6
Udoka Azubuike,Uta,C-F,23.15,4,4.3,9,14.4,16.7,0,0,5,0.8,0,0,0.8,0.8,2,2,25.2,0.3,8.8,0.5,0.5,0.25,9.9,138.8,97.2
